[Rank 15] xlo: 322.482469, xhi: 429.976625, ylo: 107.494156, yhi: 214.988312, zlo: 107.494156, zhi: 214.988312
[Rank 14] xlo: 322.482469, xhi: 429.976625, ylo: 107.494156, yhi: 214.988312, zlo: 0.000000, zhi: 107.494156
[Rank 12] xlo: 322.482469, xhi: 429.976625, ylo: 0.000000, yhi: 107.494156, zlo: 0.000000, zhi: 107.494156
[Rank 13] xlo: 322.482469, xhi: 429.976625, ylo: 0.000000, yhi: 107.494156, zlo: 107.494156, zhi: 214.988312
[Rank 7] xlo: 107.494156, xhi: 214.988312, ylo: 107.494156, yhi: 214.988312, zlo: 107.494156, zhi: 214.988312
[Rank 6] xlo: 107.494156, xhi: 214.988312, ylo: 107.494156, yhi: 214.988312, zlo: 0.000000, zhi: 107.494156
[Rank 4] xlo: 107.494156, xhi: 214.988312, ylo: 0.000000, yhi: 107.494156, zlo: 0.000000, zhi: 107.494156
[Rank 5] xlo: 107.494156, xhi: 214.988312, ylo: 0.000000, yhi: 107.494156, zlo: 107.494156, zhi: 214.988312
[Rank 2] xlo: 0.000000, xhi: 107.494156, ylo: 107.494156, yhi: 214.988312, zlo: 0.000000, zhi: 107.494156
[Rank 1] xlo: 0.000000, xhi: 107.494156, ylo: 0.000000, yhi: 107.494156, zlo: 107.494156, zhi: 214.988312
[Rank 3] xlo: 0.000000, xhi: 107.494156, ylo: 107.494156, yhi: 214.988312, zlo: 107.494156, zhi: 214.988312
# Create System:
[Rank 0] xlo: 0.000000, xhi: 107.494156, ylo: 0.000000, yhi: 107.494156, zlo: 0.000000, zhi: 107.494156
# Done .... 
# miniMD-Reference 1.2 (MPI+OpenMP) output ...
# Run Settings: 
	# MPI processes: 16
	# Host Threads: 1
	# Inputfile: in.lj.miniMD
	# Datafile: None
# Physics Settings: 
	# ForceStyle: LJ
	# Force Parameters: 1.00 1.00
	# Units: LJ
	# Atoms: 16777216
	# Atom types: 8
	# System size: 429.98 214.99 214.99 (unit cells: 256 128 128)
	# Density: 0.844200
	# Force cutoff: 2.500000
	# Timestep size: 0.005000
# Technical Settings: 
	# Neigh cutoff: 2.800000
	# Half neighborlists: 1
	# Team neighborlist construction: 0
	# Neighbor bins: 153 76 76
	# Neighbor frequency: 1000
	# Sorting frequency: 1000
	# Thermo frequency: 100
	# Ghost Newton: 1
	# Use intrinsics: 0
	# Do safe exchange: 0
	# Size of float: 8

[Rank 8] xlo: 214.988312, xhi: 322.482469, ylo: 0.000000, yhi: 107.494156, zlo: 0.000000, zhi: 107.494156
[Rank 9] xlo: 214.988312, xhi: 322.482469, ylo: 0.000000, yhi: 107.494156, zlo: 107.494156, zhi: 214.988312
[Rank 11] xlo: 214.988312, xhi: 322.482469, ylo: 107.494156, yhi: 214.988312, zlo: 107.494156, zhi: 214.988312
[Rank 10] xlo: 214.988312, xhi: 322.482469, ylo: 107.494156, yhi: 214.988312, zlo: 0.000000, zhi: 107.494156
# Starting dynamics ...
# Timestep T U P Time
0 1.440000e+00 -6.773368e+00 -5.019669e+00  0.000
100 8.279556e-01 -5.855292e+00 -3.504698e-02  0.649
[Atom] pack_comm: 600, unpack_comm: 600, pack_comm_self: 0, pack_reverse: 606, unpack_reverse: 606
[Rank 0] inte[0]: 205.275, comm[0]: 212.834, comm[1]: 752.020, comm[2]: 210.956, force: 2794.600, rev_comm[0]: 206.692, rev_comm[1]: 757.600, rev_comm[2]: 232.523, inte[1]: 139.718
[Rank 1] inte[0]: 203.645, comm[0]: 209.617, comm[1]: 782.727, comm[2]: 207.159, force: 2764.883, rev_comm[0]: 203.001, rev_comm[1]: 789.860, rev_comm[2]: 227.579, inte[1]: 138.810
[Rank 2] inte[0]: 204.304, comm[0]: 195.913, comm[1]: 784.629, comm[2]: 193.744, force: 2869.481, rev_comm[0]: 188.683, rev_comm[1]: 794.867, rev_comm[2]: 214.987, inte[1]: 138.938
[Rank 3] inte[0]: 202.846, comm[0]: 194.045, comm[1]: 796.792, comm[2]: 191.888, force: 2835.133, rev_comm[0]: 188.387, rev_comm[1]: 801.549, rev_comm[2]: 213.268, inte[1]: 138.801
[Rank 4] inte[0]: 205.585, comm[0]: 210.662, comm[1]: 1028.832, comm[2]: 208.723, force: 2779.283, rev_comm[0]: 203.489, rev_comm[1]: 1048.944, rev_comm[2]: 230.067, inte[1]: 138.629
[Rank 5] inte[0]: 205.989, comm[0]: 210.693, comm[1]: 1050.777, comm[2]: 210.039, force: 2901.345, rev_comm[0]: 204.318, rev_comm[1]: 1060.962, rev_comm[2]: 230.090, inte[1]: 141.045
[Rank 6] inte[0]: 205.282, comm[0]: 213.120, comm[1]: 1047.977, comm[2]: 212.060, force: 2836.256, rev_comm[0]: 207.265, rev_comm[1]: 1048.253, rev_comm[2]: 233.774, inte[1]: 140.447
[Rank 7] inte[0]: 204.636, comm[0]: 211.383, comm[1]: 1048.976, comm[2]: 210.101, force: 2838.140, rev_comm[0]: 205.304, rev_comm[1]: 1052.933, rev_comm[2]: 232.987, inte[1]: 139.970
[Rank 8] inte[0]: 204.520, comm[0]: 193.554, comm[1]: 812.576, comm[2]: 191.151, force: 2761.423, rev_comm[0]: 187.788, rev_comm[1]: 826.032, rev_comm[2]: 212.624, inte[1]: 137.917
[Rank 9] inte[0]: 204.436, comm[0]: 210.674, comm[1]: 776.900, comm[2]: 208.278, force: 2867.743, rev_comm[0]: 204.670, rev_comm[1]: 787.072, rev_comm[2]: 229.199, inte[1]: 140.138
[Rank 10] inte[0]: 205.329, comm[0]: 206.468, comm[1]: 780.372, comm[2]: 204.611, force: 2877.245, rev_comm[0]: 199.732, rev_comm[1]: 788.005, rev_comm[2]: 226.582, inte[1]: 140.569
[Rank 11] inte[0]: 202.250, comm[0]: 190.710, comm[1]: 714.459, comm[2]: 187.265, force: 2800.870, rev_comm[0]: 183.497, rev_comm[1]: 727.589, rev_comm[2]: 209.053, inte[1]: 138.004
[Rank 12] inte[0]: 205.383, comm[0]: 210.497, comm[1]: 748.487, comm[2]: 208.531, force: 2797.889, rev_comm[0]: 204.226, rev_comm[1]: 758.019, rev_comm[2]: 230.861, inte[1]: 139.988
[Rank 13] inte[0]: 204.690, comm[0]: 208.682, comm[1]: 781.720, comm[2]: 206.907, force: 2924.019, rev_comm[0]: 201.696, rev_comm[1]: 790.614, rev_comm[2]: 230.029, inte[1]: 141.244
[Rank 14] inte[0]: 202.839, comm[0]: 197.450, comm[1]: 783.642, comm[2]: 195.250, force: 2886.802, rev_comm[0]: 190.840, rev_comm[1]: 797.333, rev_comm[2]: 217.810, inte[1]: 140.124
[Rank 15] inte[0]: 203.565, comm[0]: 196.468, comm[1]: 786.344, comm[2]: 194.833, force: 2846.975, rev_comm[0]: 189.982, rev_comm[1]: 802.684, rev_comm[2]: 214.858, inte[1]: 139.145
[Max rank 5] inte[0]: 205.989, comm[0]: 210.693, comm[1]: 1050.777, comm[2]: 210.039, force: 2901.345, rev_comm[0]: 204.318, rev_comm[1]: 1060.962, rev_comm[2]: 230.090, inte[1]: 141.045


# Performance Summary:
# MPI_proc OMP_threads nsteps natoms t_total t_force t_neigh t_comm t_other performance perf/thread grep_string t_extra
16 1 100 16777216 0.649666 0.279529 0.000000 0.333965 0.036173 2582435805.550663 161402237.846916 PERF_SUMMARY 0.000000


