[Rank 85] xlo: 214.988312, xhi: 322.482469, ylo: 537.470781, yhi: 644.964937, zlo: 107.494156, zhi: 214.988312
[Rank 13] xlo: 0.000000, xhi: 107.494156, ylo: 322.482469, yhi: 429.976625, zlo: 107.494156, zhi: 214.988312
[Rank 115] xlo: 322.482469, xhi: 429.976625, ylo: 429.976625, yhi: 537.470781, zlo: 322.482469, zhi: 429.976625
[Rank 114] xlo: 322.482469, xhi: 429.976625, ylo: 429.976625, yhi: 537.470781, zlo: 214.988312, zhi: 322.482469
[Rank 112] xlo: 322.482469, xhi: 429.976625, ylo: 429.976625, yhi: 537.470781, zlo: 0.000000, zhi: 107.494156
[Rank 224] xlo: 752.459094, xhi: 859.953250, ylo: 0.000000, yhi: 107.494156, zlo: 0.000000, zhi: 107.494156
[Rank 113] xlo: 322.482469, xhi: 429.976625, ylo: 429.976625, yhi: 537.470781, zlo: 107.494156, zhi: 214.988312
[Rank 225] xlo: 752.459094, xhi: 859.953250, ylo: 0.000000, yhi: 107.494156, zlo: 107.494156, zhi: 214.988312
[Rank 121] xlo: 322.482469, xhi: 429.976625, ylo: 644.964937, yhi: 752.459094, zlo: 107.494156, zhi: 214.988312
[Rank 120] xlo: 322.482469, xhi: 429.976625, ylo: 644.964937, yhi: 752.459094, zlo: 0.000000, zhi: 107.494156
[Rank 241] xlo: 752.459094, xhi: 859.953250, ylo: 429.976625, yhi: 537.470781, zlo: 107.494156, zhi: 214.988312
[Rank 240] xlo: 752.459094, xhi: 859.953250, ylo: 429.976625, yhi: 537.470781, zlo: 0.000000, zhi: 107.494156
[Rank 137] xlo: 429.976625, xhi: 537.470781, ylo: 214.988312, yhi: 322.482469, zlo: 107.494156, zhi: 214.988312
[Rank 216] xlo: 644.964937, xhi: 752.459094, ylo: 644.964937, yhi: 752.459094, zlo: 0.000000, zhi: 107.494156
[Rank 59] xlo: 107.494156, xhi: 214.988312, ylo: 644.964937, yhi: 752.459094, zlo: 322.482469, zhi: 429.976625
[Rank 254] xlo: 752.459094, xhi: 859.953250, ylo: 752.459094, yhi: 859.953250, zlo: 214.988312, zhi: 322.482469
[Rank 58] xlo: 107.494156, xhi: 214.988312, ylo: 644.964937, yhi: 752.459094, zlo: 214.988312, zhi: 322.482469
[Rank 214] xlo: 644.964937, xhi: 752.459094, ylo: 537.470781, yhi: 644.964937, zlo: 214.988312, zhi: 322.482469
[Rank 70] xlo: 214.988312, xhi: 322.482469, ylo: 107.494156, yhi: 214.988312, zlo: 214.988312, zhi: 322.482469
[Rank 136] xlo: 429.976625, xhi: 537.470781, ylo: 214.988312, yhi: 322.482469, zlo: 0.000000, zhi: 107.494156
[Rank 122] xlo: 322.482469, xhi: 429.976625, ylo: 644.964937, yhi: 752.459094, zlo: 214.988312, zhi: 322.482469
[Rank 215] xlo: 644.964937, xhi: 752.459094, ylo: 537.470781, yhi: 644.964937, zlo: 322.482469, zhi: 429.976625
[Rank 227] xlo: 752.459094, xhi: 859.953250, ylo: 0.000000, yhi: 107.494156, zlo: 322.482469, zhi: 429.976625
[Rank 190] xlo: 537.470781, xhi: 644.964937, ylo: 752.459094, yhi: 859.953250, zlo: 214.988312, zhi: 322.482469
[Rank 71] xlo: 214.988312, xhi: 322.482469, ylo: 107.494156, yhi: 214.988312, zlo: 322.482469, zhi: 429.976625
[Rank 123] xlo: 322.482469, xhi: 429.976625, ylo: 644.964937, yhi: 752.459094, zlo: 322.482469, zhi: 429.976625
[Rank 226] xlo: 752.459094, xhi: 859.953250, ylo: 0.000000, yhi: 107.494156, zlo: 214.988312, zhi: 322.482469
[Rank 219] xlo: 644.964937, xhi: 752.459094, ylo: 644.964937, yhi: 752.459094, zlo: 322.482469, zhi: 429.976625
[Rank 255] xlo: 752.459094, xhi: 859.953250, ylo: 752.459094, yhi: 859.953250, zlo: 322.482469, zhi: 429.976625
[Rank 251] xlo: 752.459094, xhi: 859.953250, ylo: 644.964937, yhi: 752.459094, zlo: 322.482469, zhi: 429.976625
